tweet_ids,number_of_likes,number_of_retweets,number_of_followers,numer_of_friends,source,Date_Time
851224888060895234,19927,5469,8897916,18,Twitter for iPhone,Mon Apr 10 00:06:42 +0000 2017
850753642995093505,29612,8635,8897916,18,Twitter for iPhone,Sat Apr 08 16:54:09 +0000 2017
850380195714523136,12641,2476,8897916,18,Twitter for iPhone,Fri Apr 07 16:10:12 +0000 2017
850333567704068097,3332,312,8897916,18,Twitter for iPhone,Fri Apr 07 13:04:55 +0000 2017
850145622816686080,15742,3612,8897916,18,Twitter for iPhone,Fri Apr 07 00:38:06 +0000 2017
850019790995546112,19690,4642,8897916,18,Twitter for iPhone,Thu Apr 06 16:18:05 +0000 2017
849776966551130114,29305,7225,8897916,18,Twitter for iPhone,Thu Apr 06 00:13:11 +0000 2017
849668094696017920,0,4733,8897916,18,Twitter for iPhone,Wed Apr 05 17:00:34 +0000 2017
849412302885593088,15330,3001,8897916,18,Twitter for iPhone,Wed Apr 05 00:04:08 +0000 2017
849336543269576704,11027,1804,8897916,18,Twitter for iPhone,Tue Apr 04 19:03:06 +0000 2017
849051919805034497,40882,8080,8897916,18,Twitter for iPhone,Tue Apr 04 00:12:06 +0000 2017
848690551926992896,24357,4144,8897916,18,Twitter for iPhone,Mon Apr 03 00:16:10 +0000 2017
848324959059550208,23904,4427,8897916,18,Twitter for iPhone,Sun Apr 02 00:03:26 +0000 2017
848213670039564288,7897,688,8897916,18,Twitter for iPhone,Sat Apr 01 16:41:12 +0000 2017
848212111729840128,15783,2889,8897916,18,Twitter for iPhone,Sat Apr 01 16:35:01 +0000 2017
847978865427394560,0,3123,8897916,18,Twitter for iPhone,Sat Apr 01 01:08:10 +0000 2017
847971574464610304,0,420,8897916,18,Twitter for iPhone,Sat Apr 01 00:39:12 +0000 2017
847962785489326080,22776,4855,8897916,18,Twitter for iPhone,Sat Apr 01 00:04:17 +0000 2017
847842811428974592,5244,1263,8897916,18,Twitter for iPhone,Fri Mar 31 16:07:33 +0000 2017
847617282490613760,6765,393,8897916,18,Twitter for iPhone,Fri Mar 31 01:11:22 +0000 2017
847606175596138505,18188,3282,8897916,18,Twitter for iPhone,Fri Mar 31 00:27:14 +0000 2017
847251039262605312,19859,4143,8897916,18,Twitter for iPhone,Thu Mar 30 00:56:03 +0000 2017
847157206088847362,19254,5612,8897916,18,Twitter for iPhone,Wed Mar 29 18:43:12 +0000 2017
847116187444137987,20811,3052,8897916,18,Twitter for iPhone,Wed Mar 29 16:00:12 +0000 2017
846874817362120707,19457,3760,8897916,18,Twitter for iPhone,Wed Mar 29 00:01:05 +0000 2017
846514051647705089,43218,11067,8897916,18,Twitter for iPhone,Tue Mar 28 00:07:32 +0000 2017
846505985330044928,13688,2943,8897916,18,Twitter for iPhone,Mon Mar 27 23:35:28 +0000 2017
846153765933735936,30603,8664,8897916,18,Twitter for iPhone,Mon Mar 27 00:15:53 +0000 2017
846139713627017216,30132,9671,8897916,18,Twitter for iPhone,Sun Mar 26 23:20:02 +0000 2017
846042936437604353,15508,2747,8897916,18,Twitter for iPhone,Sun Mar 26 16:55:29 +0000 2017
845812042753855489,28352,8336,8897916,18,Twitter for iPhone,Sun Mar 26 01:38:00 +0000 2017
845677943972139009,24476,4622,8897916,18,Twitter for iPhone,Sat Mar 25 16:45:08 +0000 2017
845397057150107648,7398,1717,8897916,18,Twitter for iPhone,Fri Mar 24 22:08:59 +0000 2017
845306882940190720,22661,5173,8897916,18,Twitter for iPhone,Fri Mar 24 16:10:40 +0000 2017
845098359547420673,0,7369,8897916,18,Twitter for iPhone,Fri Mar 24 02:22:04 +0000 2017
844979544864018432,13263,2447,8897916,18,Twitter for iPhone,Thu Mar 23 18:29:57 +0000 2017
844973813909606400,14621,3050,8897917,18,Twitter for iPhone,Thu Mar 23 18:07:10 +0000 2017
844580511645339650,16014,2993,8897917,18,Twitter for iPhone,Wed Mar 22 16:04:20 +0000 2017
844223788422217728,13304,2099,8897917,18,Twitter for iPhone,Tue Mar 21 16:26:50 +0000 2017
843981021012017153,14778,2846,8897918,18,Twitter for iPhone,Tue Mar 21 00:22:10 +0000 2017
843856843873095681,20883,4441,8897918,18,Twitter for iPhone,Mon Mar 20 16:08:44 +0000 2017
843604394117681152,16446,2635,8897918,18,Twitter for iPhone,Sun Mar 19 23:25:35 +0000 2017
843235543001513987,20941,5789,8897918,18,Twitter for iPhone,Sat Mar 18 22:59:54 +0000 2017
842846295480000512,14898,3502,8897918,18,Twitter for iPhone,Fri Mar 17 21:13:10 +0000 2017
842765311967449089,6552,1218,8897918,18,Twitter for iPhone,Fri Mar 17 15:51:22 +0000 2017
842535590457499648,17669,3388,8897918,18,Twitter for iPhone,Fri Mar 17 00:38:32 +0000 2017
842163532590374912,23826,5581,8897918,18,Twitter for iPhone,Thu Mar 16 00:00:07 +0000 2017
842115215311396866,13618,2913,8897918,18,Twitter for iPhone,Wed Mar 15 20:48:07 +0000 2017
841833993020538882,0,14501,8897918,18,Twitter for iPhone,Wed Mar 15 02:10:39 +0000 2017
841680585030541313,25158,7568,8897918,18,Twitter for iPhone,Tue Mar 14 16:01:03 +0000 2017
841439858740625411,12327,3551,8897918,18,Twitter for iPhone,Tue Mar 14 00:04:30 +0000 2017
841320156043304961,19331,5328,8897918,18,Twitter for iPhone,Mon Mar 13 16:08:50 +0000 2017
841314665196081154,15467,4490,8897918,18,Twitter Web Client,Mon Mar 13 15:47:01 +0000 2017
841077006473256960,22317,5131,8897918,18,Twitter for iPhone,Mon Mar 13 00:02:39 +0000 2017
840761248237133825,0,1706,8897918,18,Twitter for iPhone,Sun Mar 12 03:07:56 +0000 2017
840728873075638272,0,15515,8897918,18,Twitter for iPhone,Sun Mar 12 00:59:17 +0000 2017
840698636975636481,172,2,8897918,18,Twitter for iPhone,Sat Mar 11 22:59:09 +0000 2017
840696689258311684,11994,942,8897918,18,Twitter for iPhone,Sat Mar 11 22:51:24 +0000 2017
840632337062862849,8785,1706,8897918,18,Twitter for iPhone,Sat Mar 11 18:35:42 +0000 2017
840370681858686976,16066,4409,8897919,18,Twitter for iPhone,Sat Mar 11 01:15:58 +0000 2017
840268004936019968,18815,5550,8897919,18,Twitter for iPhone,Fri Mar 10 18:27:58 +0000 2017
839990271299457024,13145,2202,8897919,18,Twitter for iPhone,Fri Mar 10 00:04:21 +0000 2017
839549326359670784,26845,7512,8897919,18,Twitter for iPhone,Wed Mar 08 18:52:12 +0000 2017
839290600511926273,0,139,8897919,18,Twitter for iPhone,Wed Mar 08 01:44:07 +0000 2017
839239871831150596,26509,6322,8897919,18,Twitter for iPhone,Tue Mar 07 22:22:32 +0000 2017
838952994649550848,19243,3873,8897919,18,Twitter for iPhone,Tue Mar 07 03:22:35 +0000 2017
838921590096166913,10887,1982,8897919,18,Twitter for iPhone,Tue Mar 07 01:17:48 +0000 2017
838916489579200512,0,33,8897919,18,Twitter for iPhone,Tue Mar 07 00:57:32 +0000 2017
